SeatNumber,PersonNumber,PersonIdCode,FirstName,LastName,ValidFrom,ValidUntil
1,4169,3090,Pierre-André,Page,2025-12-01,
2,4252,3144,Katja,Christ,2025-12-01,
3,4025,2740,Roland Rino,Büchel,2025-12-01,
4,11506,11506,Farah,Rumy,2025-12-01,
5,10849,10849,Vroni,Thalmann-Bieri,2025-12-01,
6,4046,2752,Lorenzo,Quadri,2025-12-01,
7,4300,3192,Céline,Widmer,2025-12-01,
8,4220,3121,Benjamin,Roduit,2025-12-01,
9,4074,2778,Pierre-Alain,Fridez,2025-12-01,
10,4137,3039,Roger,Golay,2025-12-01,
11,10815,10815,Regina,Durrer-Knobel,2025-12-01,
12,11404,11404,Daniel,Sormanni,2025-12-01,
13,4247,3139,Kilian,Baumann,2025-12-01,
14,4334,3229,Thomas,Bläsi,2025-12-01,
15,4280,3172,Léonore,Porchet,2025-12-01,
16,10850,10850,Didier,Calame,2025-12-01,
17,4278,3170,Sophie,Michaud Gigon,2025-12-01,
18,4179,3102,David,Zuberbühler,2025-12-01,
19,4246,3138,Christine,Badertscher,2025-12-01,
20,4314,3210,Stefanie,Heimgartner,2025-12-01,
21,16109,16109,Rudi,Berli,2025-12-01,
22,10838,10838,Erich,Vontobel,2025-12-01,
23,4299,3191,Felix,Wettstein,2025-12-01,
24,4263,3155,Andreas,Gafner,2025-12-01,
25,4221,3122,Michael,Töngi,2025-12-01,
26,10834,10834,Ernst,Wandfluh,2025-12-01,
27,15304,15304,Clarence,Chollet,2025-12-01,
28,4326,3221,Benjamin,Fischer,2025-12-01,
29,4093,3003,Balthasar,Glättli,2025-12-01,
30,14803,14803,Christian,Glur,2025-12-01,
31,4315,3211,Florence,Brenzikofer,2025-12-01,
32,10846,10846,Rémy,Wyssmann,2025-12-01,
33,4218,3119,Irène,Kälin,2025-12-01,
34,4317,3213,Alois,Huber,2025-12-01,
35,4184,3058,Sibel,Arslan,2025-12-01,
36,10833,10833,Nina,Fehr Düsel,2025-12-01,
37,4245,3137,Gerhard,Andrey,2025-12-01,
38,4161,3074,Andreas,Glarner,2025-12-01,
39,4312,3208,Bruno,Storni,2025-12-01,
40,3901,2704,Lukas,Reimann,2025-12-01,
41,10829,10829,Martine,Docourt,2025-12-01,
42,10848,10848,Walter,Gartmann,2025-12-01,
43,4219,3120,Brigitte,Crottaz,2025-12-01,
44,10844,10844,Roman,Hug,2025-12-01,
45,4195,3071,Laurence,Fehlmann Rielle,2025-12-01,
46,10801,10801,Christoph,Riner,2025-12-01,
47,14809,14809,Ueli,Schmezer,2025-12-01,
48,4335,3230,Michael,Götte,2025-12-01,
49,4289,3181,Meret,Schneider,2025-12-01,
50,4175,3097,Mauro,Tuena,2025-12-01,
51,4253,3145,Christophe,Clivaz,2025-12-01,
52,10835,10835,Sylvain,Freymond,2025-12-01,
53,4288,3180,Marionna,Schlatter,2025-12-01,
54,10832,10832,Thomas,Knutti,2025-12-01,
55,4272,3164,Delphine,Klopfenstein Broggini,2025-12-01,
56,10845,10845,Roman,Bürgi,2025-12-01,
57,4298,3190,Manuela,Weichelt,2025-12-01,
58,4168,3089,Jacques,Nicolet,2025-12-01,
59,3999,2732,Katharina,Prelicz-Huber,2025-12-01,
60,4158,3064,Thomas,Burgherr,2025-12-01,
61,10851,10851,Andrea,Zryd,2025-12-01,
62,14810,14810,Fabienne,Stämpfli,2025-12-01,
63,4262,3154,Tamara,Funiciello,2025-12-01,
64,4102,3016,Kathrin,Bertschy,2025-12-01,
65,10826,10826,Nina,Schläfli,2025-12-01,
66,11507,11507,Patrick,Hässig,2025-12-01,
67,14105,14105,Linda,De Ventura,2025-12-01,
68,4163,3078,Erich,Hess,2025-12-01,
69,4255,3147,Christian,Dandrès,2025-12-01,
70,10847,10847,Thomas,Stettler,2025-12-01,
71,4320,3217,Emmanuel,Amoos,2025-12-01,
72,4229,3130,Mike,Egger,2025-12-01,
73,10820,10820,Jessica,Jaccoud,2025-12-01,
74,4236,3134,Martin,Haab,2025-12-01,
75,4295,3187,Gabriela,Suter,2025-12-01,
76,4311,3207,Piero,Marchesi,2025-12-01,
77,4327,3222,Raphaël,Mahaim,2025-12-01,
78,10842,10842,Paolo,Pamini,2025-12-01,
79,4286,3178,Franziska,Ryser,2025-12-01,
80,10841,10841,Markus,Schnyder,2025-12-01,
81,4128,3032,Aline,Trede,2025-12-01,
82,10830,10830,Katja,Riem,2025-12-01,
83,4268,3160,Greta,Gysin,2025-12-01,
84,10840,10840,Yvan,Pahud,2025-12-01,
85,4208,3109,Matthias Samuel,Jauslin,2025-12-01,
86,4157,3063,Manfred,Bühler,2025-12-01,
87,4287,3179,Barbara,Schaffner,2025-12-01,
88,10852,10852,Hans Jörg,Rüegsegger,2025-12-01,
89,4323,3218,Céline,Weber,2025-12-01,
90,4154,3055,Jean-Luc,Addor,2025-12-01,
91,4131,3035,Claudia,Friedl,2025-12-01,
92,4083,2786,Jürg,Grossen,2025-12-01,
93,4199,3094,Priska,Seiler Graf,2025-12-01,
94,4267,3159,Corina,Gredig,2025-12-01,
95,10813,10813,Simona,Brizzi,2025-12-01,
96,4059,2765,Beat,Flach,2025-12-01,
97,10822,10822,Ursula,Zybach,2025-12-01,
98,10804,10804,Bettina,Balmer,2025-12-01,
99,4318,3214,Sarah,Wyss,2025-12-01,
100,10809,10809,Nadine,Gobet,2025-12-01,
101,10828,10828,Hasan,Candan,2025-12-01,
102,10806,10806,Kris,Vietze,2025-12-01,
103,4197,3084,Min Li,Marti,2025-12-01,
104,10808,10808,Heinz,Theiler,2025-12-01,
105,4223,3124,Fabian,Molina,2025-12-01,
106,10807,10807,Simone,Gianini,2025-12-01,
107,10824,10824,Anna,Rosenwasser,2025-12-01,
108,4329,3224,Daniel,Ruch,2025-12-01,
109,4214,3115,Niklaus-Samuel,Gugger,2025-12-01,
110,4234,3135,Therese,Schläpfer,2025-12-01,
111,4331,3226,Marc,Jost,2025-12-01,
112,4177,3099,Bruno,Walliser,2025-12-01,
113,10811,10811,Reto,Nause,2025-12-01,
114,10831,10831,Martin,Hübscher,2025-12-01,
115,11505,11505,Giorgio,Fonio,2025-12-01,
116,10843,10843,Pascal,Schmid,2025-12-01,
117,10818,10818,Nicole,Barandun,2025-12-01,
118,10836,10836,Nicolas,Kolly,2025-12-01,
119,10817,10817,Isabelle,Chappuis,2025-12-01,
120,4285,3177,Monika,Rüegger,2025-12-01,
121,11508,11508,Maya,Bally,2025-12-01,
122,4310,3206,Lars,Guggisberg,2025-12-01,
123,10816,10816,Dominik,Blunschy,2025-12-01,
124,4174,3096,Barbara,Steinemann,2025-12-01,
125,1138,2585,Martin,Bäumle,2025-12-01,
126,4164,3080,Christian,Imark,2025-12-01,
127,15004,15004,Benoît,Gaillard,2025-12-01,
128,4124,3029,Peter,Schilliger,2025-12-01,
129,4058,2762,Jacqueline,Badran,2025-12-01,
130,4257,3149,Jacqueline,de Quattro,2025-12-01,
131,10821,10821,David,Roth,2025-12-01,
132,4324,3219,Patricia,von Falkenstein,2025-12-01,
133,4121,3026,Barbara,Gysi,2025-12-01,
134,4265,3157,Anna,Giacometti,2025-12-01,
135,10825,10825,Brenda,Tuosto,2025-12-01,
136,4313,3209,Maja,Riniker,2025-12-01,
137,10823,10823,Estelle,Revaz,2025-12-01,
138,4259,3151,Alex,Farinelli,2025-12-01,
139,4109,3009,Valérie,Piller Carrard,2025-12-01,
140,10803,10803,Cyril,Aellen,2025-12-01,
141,10827,10827,Jean,Tschopp,2025-12-01,
142,4256,3148,Simone,de Montmollin,2025-12-01,
143,4281,3173,Jon,Pult,2025-12-01,
144,10810,10810,Simon,Michel,2025-12-01,
145,3899,2702,Eric,Nussbaumer,2025-12-01,
146,4190,3070,Marcel,Dobler,2025-12-01,
147,4101,3017,Christine,Bulliard-Marbach,2025-12-01,
148,4173,3095,Sandra,Sollberger,2025-12-01,
149,4063,2771,Stefan,Müller-Altermatt,2025-12-01,
150,4319,3216,Michael,Graber,2025-12-01,
151,4333,3228,Andreas,Meier,2025-12-01,
152,4065,2781,Nadja,Umbricht Pieren,2025-12-01,
153,4271,3163,Sidney,Kamerzin,2025-12-01,
154,3890,2693,Thomas,Hurter,2025-12-01,
155,4275,3167,Vincent,Maitre,2025-12-01,
156,4156,3062,Michaël,Buffat,2025-12-01,
157,4284,3176,Marie-France,Roth Pasquier,2025-12-01,
158,4216,3117,Diana,Gutjahr,2025-12-01,
159,4305,3202,Priska,Wismer-Felder,2025-12-01,
160,4051,2757,Thomas,de Courten,2025-12-01,
161,4292,3184,Simon,Stadler,2025-12-01,
162,4266,3158,Benjamin,Giezendanner,2025-12-01,
163,10814,10814,Pius,Kaufmann,2025-12-01,
164,4162,3076,Franz,Grüter,2025-12-01,
165,4094,2799,Lorenz,Hess,2025-12-01,
166,4125,3030,Gregor,Rutz,2025-12-01,
167,10812,10812,Islam,Alijaj,2025-12-01,
168,4141,3043,Hans-Peter,Portmann,2025-12-01,
169,4057,2759,Cédric,Wermuth,2025-12-01,
170,4194,3100,Laurent,Wehrli,2025-12-01,
171,4198,3087,Mattea,Meyer,2025-12-01,
172,4077,2789,Olivier,Feller,2025-12-01,
173,4228,3129,Samira,Marti,2025-12-01,
174,3912,2715,Christian,Wasserfallen,2025-12-01,
175,4213,3114,Samuel,Bendahan,2025-12-01,
176,4060,2766,Daniela,Schneeberger,2025-12-01,
177,4130,3034,Nadine,Masshardt,2025-12-01,
178,4254,3146,Damien,Cottier,2025-12-01,
179,4118,3024,Christian,Lohr,2025-12-01,
180,4296,3188,Susanne,Vincenz-Stauffacher,2025-12-01,
181,4225,3126,Philipp,Kutter,2025-12-01,
182,4290,3182,Andri,Silberschmidt,2025-12-01,
183,4097,3012,Leo,Müller,2025-12-01,
184,4202,3103,Regine,Sauter,2025-12-01,
185,4070,2770,Martin,Candinas,2025-12-01,
186,4142,3044,Beat,Walti,2025-12-01,
187,4222,3123,Nicolò,Paganini,2025-12-01,
188,4193,3088,Philippe,Nantermod,2025-12-01,
189,4230,3131,Philipp Matthias,Bregy,2025-12-01,
190,4090,2796,Céline,Amaudruz,2025-12-01,
191,1109,2623,Gerhard,Pfister,2025-12-01,
192,4144,3046,Thomas,Matter,2025-12-01,
193,4282,3174,Thomas,Rechsteiner,2025-12-01,
194,4160,3069,Marcel,Dettling,2025-12-01,
195,4040,2748,Elisabeth,Schneider-Schneiter,2025-12-01,
196,4053,2758,Thomas,Aeschi,2025-12-01,
197,10819,10819,Yvonne,Bürgin,2025-12-01,
198,4167,3085,Magdalena,Martullo-Blocher,2025-12-01,
199,4052,2754,Markus,Ritter,2025-12-01,
200,4293,3185,Manuel,Strupler,2025-12-01,
