SeatNumber,order,x,y,center_x,center_y
1.0,1.0,3848.0,5378.0,4049.5,5503.5
1.0,2.0,4251.0,5378.0,4049.5,5503.5
1.0,3.0,4251.0,5629.0,4049.5,5503.5
1.0,4.0,3848.0,5629.0,4049.5,5503.5
2.0,1.0,4251.0,5378.0,4453.0,5503.5
2.0,2.0,4655.0,5378.0,4453.0,5503.5
2.0,3.0,4655.0,5629.0,4453.0,5503.5
2.0,4.0,4251.0,5629.0,4453.0,5503.5
3.0,1.0,4251.0,4879.0,4352.0,5005.0
3.0,2.0,4453.0,4879.0,4352.0,5005.0
3.0,3.0,4453.0,5131.0,4352.0,5005.0
3.0,4.0,4251.0,5131.0,4352.0,5005.0
4.0,1.0,4864.0,5386.0,5090.5,5455.0
4.0,2.0,5252.0,5281.0,5090.5,5455.0
4.0,3.0,5316.0,5525.0,5090.5,5455.0
4.0,4.0,4930.0,5628.0,5090.5,5455.0
5.0,1.0,4453.0,4879.0,4553.5,5005.0
5.0,2.0,4654.0,4879.0,4553.5,5005.0
5.0,3.0,4654.0,5131.0,4553.5,5005.0
5.0,4.0,4453.0,5131.0,4553.5,5005.0
6.0,1.0,5252.0,5281.0,5478.5,5351.0
6.0,2.0,5640.0,5178.0,5478.5,5351.0
6.0,3.0,5706.0,5420.0,5478.5,5351.0
6.0,4.0,5316.0,5525.0,5478.5,5351.0
7.0,1.0,3445.0,4390.0,3545.5,4516.0
7.0,2.0,3646.0,4390.0,3545.5,4516.0
7.0,3.0,3646.0,4642.0,3545.5,4516.0
7.0,4.0,3445.0,4642.0,3545.5,4516.0
8.0,1.0,3646.0,4390.0,3747.0,4516.0
8.0,2.0,3848.0,4390.0,3747.0,4516.0
8.0,3.0,3848.0,4642.0,3747.0,4516.0
8.0,4.0,3646.0,4642.0,3747.0,4516.0
9.0,1.0,3848.0,4390.0,3948.5,4516.0
9.0,2.0,4049.0,4390.0,3948.5,4516.0
9.0,3.0,4049.0,4642.0,3948.5,4516.0
9.0,4.0,3848.0,4642.0,3948.5,4516.0
10.0,1.0,4049.0,4390.0,4150.0,4516.0
10.0,2.0,4251.0,4390.0,4150.0,4516.0
10.0,3.0,4251.0,4642.0,4150.0,4516.0
10.0,4.0,4049.0,4642.0,4150.0,4516.0
11.0,1.0,4251.0,4390.0,4351.5,4516.0
11.0,2.0,4452.0,4390.0,4351.5,4516.0
11.0,3.0,4452.0,4642.0,4351.5,4516.0
11.0,4.0,4251.0,4642.0,4351.5,4516.0
12.0,1.0,4452.0,4390.0,4553.0,4516.0
12.0,2.0,4654.0,4390.0,4553.0,4516.0
12.0,3.0,4654.0,4642.0,4553.0,4516.0
12.0,4.0,4452.0,4642.0,4553.0,4516.0
13.0,1.0,3147.0,4113.0,3319.0,4060.0
13.0,2.0,3218.0,3910.0,3319.0,4060.0
13.0,3.0,3476.0,4048.0,3319.0,4060.0
13.0,4.0,3435.0,4169.0,3319.0,4060.0
14.0,1.0,4150.0,3429.0,4258.5,3597.5
14.0,2.0,4423.0,3483.0,4258.5,3597.5
14.0,3.0,4311.0,3755.0,4258.5,3597.5
14.0,4.0,4150.0,3723.0,4258.5,3597.5
15.0,1.0,3218.0,3910.0,3397.25,3910.75
15.0,2.0,3344.0,3739.0,3397.25,3910.75
15.0,3.0,3551.0,3946.0,3397.25,3910.75
15.0,4.0,3476.0,4048.0,3397.25,3910.75
16.0,1.0,4423.0,3483.0,4458.75,3680.25
16.0,2.0,4654.0,3638.0,4458.75,3680.25
16.0,3.0,4447.0,3845.0,4458.75,3680.25
16.0,4.0,4311.0,3755.0,4458.75,3680.25
17.0,1.0,3445.0,3638.0,3640.0,3680.25
17.0,2.0,3675.0,3483.0,3640.0,3680.25
17.0,3.0,3788.0,3754.0,3640.0,3680.25
17.0,4.0,3652.0,3846.0,3640.0,3680.25
18.0,1.0,4764.0,3738.0,4710.75,3910.0
18.0,2.0,4891.0,3909.0,4710.75,3910.0
18.0,3.0,4631.0,4047.0,4710.75,3910.0
18.0,4.0,4557.0,3946.0,4710.75,3910.0
19.0,1.0,3675.0,3483.0,3840.25,3597.0
19.0,2.0,3949.0,3429.0,3840.25,3597.0
19.0,3.0,3949.0,3722.0,3840.25,3597.0
19.0,4.0,3788.0,3754.0,3840.25,3597.0
20.0,1.0,4891.0,3909.0,4789.0,4059.5
20.0,2.0,4961.0,4113.0,4789.0,4059.5
20.0,3.0,4673.0,4169.0,4789.0,4059.5
20.0,4.0,4631.0,4047.0,4789.0,4059.5
21.0,1.0,2681.0,4243.0,2833.75,4166.5
21.0,2.0,2695.0,4067.0,2833.75,4166.5
21.0,3.0,2984.0,4113.0,2833.75,4166.5
21.0,4.0,2975.0,4243.0,2833.75,4166.5
22.0,1.0,4150.0,2976.0,4249.25,3132.0
22.0,2.0,4377.0,2998.0,4249.25,3132.0
22.0,3.0,4320.0,3285.0,4249.25,3132.0
22.0,4.0,4150.0,3269.0,4249.25,3132.0
23.0,1.0,2695.0,4067.0,2858.0,4010.75
23.0,2.0,2737.0,3886.0,2858.0,4010.75
23.0,3.0,3016.0,3977.0,2858.0,4010.75
23.0,4.0,2984.0,4113.0,2858.0,4010.75
24.0,1.0,4377.0,2998.0,4444.25,3170.5
24.0,2.0,4596.0,3064.0,4444.25,3170.5
24.0,3.0,4484.0,3335.0,4444.25,3170.5
24.0,4.0,4320.0,3285.0,4444.25,3170.5
25.0,1.0,2737.0,3886.0,2907.5,3856.5
25.0,2.0,2808.0,3715.0,2907.5,3856.5
25.0,3.0,3069.0,3848.0,2907.5,3856.5
25.0,4.0,3016.0,3977.0,2907.5,3856.5
26.0,1.0,4596.0,3064.0,4628.0,3247.0
26.0,2.0,4797.0,3173.0,4628.0,3247.0
26.0,3.0,4635.0,3416.0,4628.0,3247.0
26.0,4.0,4484.0,3335.0,4628.0,3247.0
27.0,1.0,2808.0,3715.0,2981.0,3712.0
27.0,2.0,2905.0,3556.0,2981.0,3712.0
27.0,3.0,3142.0,3729.0,2981.0,3712.0
27.0,4.0,3069.0,3848.0,2981.0,3712.0
28.0,1.0,4797.0,3173.0,4793.25,3357.75
28.0,2.0,4974.0,3317.0,4793.25,3357.75
28.0,3.0,4767.0,3525.0,4793.25,3357.75
28.0,4.0,4635.0,3416.0,4793.25,3357.75
29.0,1.0,2905.0,3556.0,3075.25,3582.25
29.0,2.0,3023.0,3419.0,3075.25,3582.25
29.0,3.0,3231.0,3625.0,3075.25,3582.25
29.0,4.0,3142.0,3729.0,3075.25,3582.25
30.0,1.0,5075.0,3418.0,5017.5,3582.0
30.0,2.0,5193.0,3556.0,5017.5,3582.0
30.0,3.0,4956.0,3729.0,5017.5,3582.0
30.0,4.0,4846.0,3625.0,5017.5,3582.0
31.0,1.0,3124.0,3317.0,3304.5,3357.5
31.0,2.0,3300.0,3172.0,3304.5,3357.5
31.0,3.0,3463.0,3416.0,3304.5,3357.5
31.0,4.0,3331.0,3525.0,3304.5,3357.5
32.0,1.0,5193.0,3556.0,5117.25,3712.0
32.0,2.0,5291.0,3715.0,5117.25,3712.0
32.0,3.0,5029.0,3848.0,5117.25,3712.0
32.0,4.0,4956.0,3729.0,5117.25,3712.0
33.0,1.0,3300.0,3172.0,3469.75,3246.75
33.0,2.0,3502.0,3064.0,3469.75,3246.75
33.0,3.0,3614.0,3335.0,3469.75,3246.75
33.0,4.0,3463.0,3416.0,3469.75,3246.75
34.0,1.0,5291.0,3715.0,5190.75,3856.5
34.0,2.0,5361.0,3886.0,5190.75,3856.5
34.0,3.0,5082.0,3977.0,5190.75,3856.5
34.0,4.0,5029.0,3848.0,5190.75,3856.5
35.0,1.0,3502.0,3064.0,3653.75,3170.5
35.0,2.0,3721.0,2998.0,3653.75,3170.5
35.0,3.0,3778.0,3285.0,3653.75,3170.5
35.0,4.0,3614.0,3335.0,3653.75,3170.5
36.0,1.0,5361.0,3886.0,5240.25,4010.75
36.0,2.0,5404.0,4067.0,5240.25,4010.75
36.0,3.0,5114.0,4113.0,5240.25,4010.75
36.0,4.0,5082.0,3977.0,5240.25,4010.75
37.0,1.0,3721.0,2998.0,3849.5,3132.0
37.0,2.0,3949.0,2976.0,3849.5,3132.0
37.0,3.0,3949.0,3269.0,3849.5,3132.0
37.0,4.0,3779.0,3285.0,3849.5,3132.0
38.0,1.0,5404.0,4067.0,5264.5,4166.5
38.0,2.0,5417.0,4243.0,5264.5,4166.5
38.0,3.0,5123.0,4243.0,5264.5,4166.5
38.0,4.0,5114.0,4113.0,5264.5,4166.5
39.0,1.0,2228.0,4243.0,2380.0,4150.5
39.0,2.0,2240.0,4039.0,2380.0,4150.5
39.0,3.0,2531.0,4077.0,2380.0,4150.5
39.0,4.0,2521.0,4243.0,2380.0,4150.5
40.0,1.0,4150.0,2522.0,4265.25,2677.75
40.0,2.0,4403.0,2542.0,4265.25,2677.75
40.0,3.0,4358.0,2832.0,4265.25,2677.75
40.0,4.0,4150.0,2815.0,4265.25,2677.75
41.0,1.0,2240.0,4039.0,2404.0,3961.75
41.0,2.0,2281.0,3827.0,2404.0,3961.75
41.0,3.0,2564.0,3904.0,2404.0,3961.75
41.0,4.0,2531.0,4077.0,2404.0,3961.75
42.0,1.0,4403.0,2542.0,4492.75,2713.75
42.0,2.0,4650.0,2601.0,4492.75,2713.75
42.0,3.0,4560.0,2880.0,4492.75,2713.75
42.0,4.0,4358.0,2832.0,4492.75,2713.75
43.0,1.0,2281.0,3827.0,2453.5,3773.25
43.0,2.0,2349.0,3625.0,2453.5,3773.25
43.0,3.0,2620.0,3737.0,2453.5,3773.25
43.0,4.0,2564.0,3904.0,2453.5,3773.25
44.0,1.0,4650.0,2601.0,4711.75,2785.0
44.0,2.0,4885.0,2699.0,4711.75,2785.0
44.0,3.0,4752.0,2960.0,4711.75,2785.0
44.0,4.0,4560.0,2880.0,4711.75,2785.0
45.0,1.0,2349.0,3625.0,2527.75,3594.0
45.0,2.0,2444.0,3434.0,2527.75,3594.0
45.0,3.0,2698.0,3580.0,2527.75,3594.0
45.0,4.0,2620.0,3737.0,2527.75,3594.0
46.0,1.0,4885.0,2699.0,4916.75,2890.0
46.0,2.0,5101.0,2832.0,4916.75,2890.0
46.0,3.0,4929.0,3069.0,4916.75,2890.0
46.0,4.0,4752.0,2960.0,4916.75,2890.0
47.0,1.0,2444.0,3434.0,2625.5,3426.0
47.0,2.0,2564.0,3256.0,2625.5,3426.0
47.0,3.0,2796.0,3434.0,2625.5,3426.0
47.0,4.0,2698.0,3580.0,2625.5,3426.0
48.0,1.0,5101.0,2832.0,5103.25,3025.5
48.0,2.0,5295.0,2997.0,5103.25,3025.5
48.0,3.0,5088.0,3204.0,5103.25,3025.5
48.0,4.0,4929.0,3069.0,5103.25,3025.5
49.0,1.0,2564.0,3256.0,2743.25,3273.0
49.0,2.0,2703.0,3098.0,2743.25,3273.0
49.0,3.0,2910.0,3304.0,2743.25,3273.0
49.0,4.0,2796.0,3434.0,2743.25,3273.0
50.0,1.0,5395.0,3098.0,5354.75,3273.5
50.0,2.0,5534.0,3256.0,5354.75,3273.5
50.0,3.0,5302.0,3435.0,5354.75,3273.5
50.0,4.0,5188.0,3305.0,5354.75,3273.5
